data;T_min;T_max;RH_min;RH_max
10/03/2025;26.3;32.2;;
11/03/2025;26.3;32.2;35;79
13/03/2025;27.9;32.5;35;82
14/03/2025;28.2;32.2;35;84
17/03/2025;27.9;32.2;35;84
18/03/2025;27.7;31.9;35;84
20/03/2025;27.9;32.5;35;79
21/03/2025;28.2;31.9;35;79
23/03/2025;27.9;31.6;35;81
24/03/2025;28.2;32.5;35;78
25/03/2025;28.4;29.9;35;82
27/03/2025;27.9;31.6;35;85
31/03/2025;28.2;30.5;35;85
03/04/2025;28.2;31.3;35;87
04/04/2025;28.4;30.8;44;82
06/04/2025;26.3;29.5;44;79
07/04/2025;26.7;30.5;44;79
08/04/2025;27.2;29.4;42;74
10/04/2025;28.2;29.7;42;86
11/04/2025;27.4;30.2;42;79
13/04/2025;27.4;29.7;42;84
14/04/2025;28.4;29.7;42;77
16/04/2025;27.4;30.5;42;82
20/04/2025;27.4;30.2;42;82
22/04/2025;26.9;30.2;45;82
24/04/2025;26.9;28.9;45;72
25/04/2025;27.4;30.2;45;72
27/04/2025;26.9;29.9;45;80
29/04/2025;27.4;29.9;45;83
02/05/2025;26.3;30.8;45;71
